Upc,Department,qty,cents,incltaxes,inclfees,Name,proper Name,size,ebt,byweight,Fee Multiplier,cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
840004025681,Snacks /candy,1,199,n,n,Egg,Egg,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
840004025704,Snacks /candy,1,299,n,n,Bob esponja,Bob Esponja,1each,y,n,1,0,0,n,,1,,,,,0,n,,,,,,,
840004028248,Food,1,399,n,n,Mega huevo sorpresa,Mega Huevo Sorpresa,,y,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840004028880,Snacks /candy,1,399,n,n,Bob,Bob,,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
840004096254,Food,1,399,n,n,Barbie candi,Barbie Candi,1,y,n,1,1,0,n,,0,,,,,,n,,,,,,,
840004096513,Snacks /candy,1,399,n,n,Hotwheel egg,Hotwheel Egg,1,,n,1,1,0,n,,-12,,,,,,n,,,,,,,
840005004975,Sundries,1,299,n,n,Spoons,Spoons,,,n,1,1,0,n,,2,,,,,,n,,,,,,,
840045200665,Sundries,1,499,n,n,Rogue:Peppermint Pouches 3mg,Rogue:peppermint Pouches 3mg,,,n,1,1,0,n,,0,,,,,0,n,,,,,,,
840045200696,Tabbocco,1,499,n,n,Rogue peppermint pouches,Rogue Peppermint Pouches,6mg,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840045200726,Tabbocco,1,599,n,n,Rouge,Rouge,,,n,1,1,0,n,,0,,,,,,n,,,,,,,
840045200757,Tabbocco,1,599,n,n,Rogue wintergreen pouches,Rogue Wintergreen Pouches,6mg,,n,1,0,0,n,,0,,,,,,n,,,,,,,
840045200818,Tabbocco,1,599,n,n,Rogue berry pouches,Rogue Berry Pouches,6mg,,n,1,0,0,n,,3,,,,,0,n,,,,,,,
840045200870,Tabbocco,1,599,n,n,Roge,Roge,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840045201112,Tabbocco,1,599,n,n,Rogue apple,Rogue Apple,,,n,1,0,0,n,,0,,,,,0,n,,,,,,,
840045201174,Tabbocco,1,499,n,n,Rogue honey lemon pouches,Rogue Honey Lemon Pouches,6mg,,n,1,0,0,n,,0,,,,,,n,,,,,,,
