Upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,"Fee Multiplier",cost_qty,cost_cents,variable_price,addstock,setstock,pack_name,pack_qty,pack_upc,unit_upc,unit_count,is_oneclick,oc_color,oc_border_color,oc_text_color,oc_fixedpos,oc_page,oc_key,oc_relpos
"=""083103508017""","Liquor ",1,499,n,n,"Potter's Crown",375ml,,n,1,1,0,n,,"=""7""",,,,,,n,,,,,,,
"=""083103603446""","Liquor ",1,3699,n,n,"Ollitas reposado tequila",750ml,,n,1,0,0,n,,"=""6""",,,,,0,n,,,,,,,
"=""083103702064""","Liquor ",1,799,n,n,"Cremede de cassis liquer",1liter,,n,1,0,0,n,,"=""1""",,,,,,n,,,,,,,
"=""083103702095""","Liquor ",1,999,n,n,"Potters sour apple",750ml,,n,1,0,0,n,,"=""3""",,,,,,n,,,,,,,
"=""083103702118""","Liquor ",1,999,n,n,"Potters watermelon",750ml,,n,1,0,0,n,,"=""5""",,,,,,n,,,,,,,
"=""083103772012""","Liquor ",1,799,n,n,Peactea,,,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083103773071""","Liquor ",1,2099,n,n,"SLURICANE Yellow bird",750ml,,n,1,1,0,n,,"=""9""",,,,,,n,,,,,,,
"=""083103773088""","Liquor ",1,2099,n,n,"SLURICANE blue lagoon",750ml,,n,1,1,0,n,,"=""1""",,,,,,n,,,,,,,
"=""083103773095""","Liquor ",1,2099,n,n,"Sluricane Sweet Tea 750ml",750Ml,,n,1,1,0,n,,"=""7""",,,,,,n,,,,,,,
"=""083120003021""",Wine,1,1999,n,n,Franzia:Moscato,"5.00 LT",,n,1,1,0,n,,"=""-41""",,,,,,n,,,,,,,
"=""083120003151""",Wine,1,599,n,n,"Yosemite pinot grigio",750ml,,n,1,0,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083120003359""",Wine,1,1999,n,n,"FRANZIAdark red blend",5LIter,,n,1,1,0,n,,"=""-10""",,,,,,n,,,,,,,
"=""083120003540""",Wine,1,1999,n,n,"Franzia Pink Moscato",5liter,,n,1,1,0,n,,"=""-14""",,,,,,n,,,,,,,
"=""083120003823""",Wine,1,1999,n,n,"Franzia pinot noir ","5 liter ",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083120004042""",Wine,1,599,n,n,"yisemite roed",750ml,,n,1,0,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083120004073""",Wine,1,399,n,n,"FRANZIA CRISP WHITE 500ML",,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083120012566""",Wine,1,499,n,n,"plot point chardonnay",500ml,,n,1,0,0,n,,"=""1""",,,,,0,n,,,,,,,
"=""083120012573""",Wine,1,499,n,n,"Plot point pinot grigio",500ml,,n,1,0,0,n,,"=""10""",,,,,0,n,,,,,,,
"=""083120015086""","Liquor ",1,3299,n,n,"Cooper Thief",750ml,,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083120015093""",Wine,1,3299,n,n,"Cooper thief",750ml,,n,1,0,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083120015383""",Wine,1,3299,n,n,"Cooper thief",750ml,,n,1,0,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083120015628""",Wine,1,499,n,n,"Fuel margarita rush",500ml,,n,1,0,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083120015635""",Wine,1,499,n,n,"fuel hard punch by franzia",,,n,1,0,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083120015659""",Wine,1,499,n,n,"Atomic boss hard punchberry blast",,,n,1,0,0,n,,"=""6""",,,,,0,n,,,,,,,
"=""083120016366""",Wine,1,3499,n,n,"Cooper & thief larceny bourbon barrels",750ml,,n,1,0,0,n,,"=""12""",,,,,0,n,,,,,,,
"=""083120100195""",Wine,1,1999,n,n,Franzia:Merlot,"5.00 LT",,n,1,1,0,n,,"=""-21""",,,,,,n,,,,,,,
"=""083120100393""",Wine,1,1999,n,n,"FRANZIA PINOT GRIGIO",5Liter,,n,1,1,0,n,,"=""-20""",,,,,,n,,,,,,,
"=""083120100690""",Wine,1,1999,n,n,"Franzia Chillable :Red Table Wine","5.00 LT",,n,1,1,0,n,,"=""-4""",,,,,,n,,,,,,,
"=""083120101895""",Wine,1,1999,n,n,"Franzia:Cabernet Sauvignon","5.00 LT",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083120101994""",Wine,1,1999,n,n,"Franzia refreshing white ","5 liter ",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083120102090""",Wine,1,1999,n,n,Franzia:Chardonnay,"5.00 LT",,n,1,1,0,n,,"=""-140""",,,,,,n,,,,,,,
"=""083120102397""",Wine,1,1999,n,n,Franzia:Burgundy,"5.00 LT",,n,1,1,0,n,,"=""2""",,,,,,n,,,,,,,
"=""083120102793""",Wine,1,1999,n,n,Franzia:Chablis,"5.00 LT",,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083120102892""",Wine,1,1999,n,n,"Franzia:Crisp White","5.00 LT",,n,1,1,0,n,,"=""-115""",,,,,,n,,,,,,,
"=""083120103196""",Wine,1,1999,n,n,"Franzia:White Zinfandel","5.00 LT",,n,1,1,0,n,,"=""-15""",,,,,,n,,,,,,,
"=""083120103295""",Wine,1,1999,n,n,"Franzia:Red Sangria","5.00 LT",,n,1,1,0,n,,"=""-8""",,,,,,n,,,,,,,
"=""083120103691""",Wine,1,1999,n,n,Franzia:Blush,"5.00 LT",,n,1,1,0,n,,"=""-11""",,,,,0,n,,,,,,,
"=""083120957072""","Mix cocktails",1,599,n,n,"Tribuno Extra Dry","750 ml",,n,1,1,0,n,,"=""4""",,,,,0,n,,,,,,,
"=""083120957270""","Liquor ",1,599,n,n,"Tribuno  Sweet 750ml","=""375""",,n,1,1,0,n,,"=""-1""",,,,,0,n,,,,,,,
"=""083300032551""","Liquor ",1,6799,n,n,"DON EDUARDO","750 ML",,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083300034524""","Liquor ",1,2099,n,n,Chambord,"375 ml",,n,1,1,0,n,,"=""6""",,,,,,n,,,,,,,
"=""083300034531""","Liquor ",1,3199,n,n,"Chambord Black Berry Liqueur",750ml,,n,1,1,0,n,,"=""-8""",,,,,,n,,,,,,,
"=""083300044790""","Liquor ",1,0,n,n,Tuaca,375ml,,n,1,1,0,n,,"=""1""",,,,,0,n,,,,,,,
"=""083300047876""","Liquor ",1,899,n,n,"TUACA Vanilla citrus liquor",200mL,,n,1,1,0,n,,"=""48""",,,,,0,n,,,,,,,
"=""083300048712""","Liquor ",1,3399,n,n,"Amarula Cream Liquor Ltr",750ml,,n,1,1,0,n,,"=""4""",,,,,0,n,,,,,,,
"=""083300048729""","Liquor ",1,2699,n,n,"AMARULA CRM LIQ 750",750ml,,n,1,1,0,n,,"=""4""",,,,,,n,,,,,,,
"=""083300072045""","Liquor ",1,9399,n,n,"ARDBEG 750ML uigeadail",,,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083300072106""","Liquor ",1,7399,n,n,"ARDBEG ISLAY SINGLE MALT 10YRS",750ML,,n,1,1,0,n,,"=""-1""",,,,,0,n,,,,,,,
"=""083300201322""","Liquor ",1,2499,n,n,"Magnifique Chambord Royale",,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083300744812""","Liquor ",1,99,n,n,Tuaca,50ml,,n,1,0,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083417000085""",Wine,1,1299,n,n,"J harden prosecco ",750ml,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083417000252""",Wine,1,1299,n,n,"J harden red wine",750ml,,n,1,1,0,n,,"=""2""",,,,,,n,,,,,,,
"=""083417000269""",Wine,1,1299,n,n,"J Hardren Red Wine","750 ml",,n,1,1,0,n,,"=""3""",,,,,,n,,,,,,,
"=""083664000036""","Liquor ",1,1399,n,n,"Sailor jerry",750ml,,n,1,0,0,n,,"=""-17""",,,,,0,n,,,,,,,
"=""083664101078""","Liquor ",1,2499,n,n,"Tullamore dew honey liquer",750ml,,n,1,0,0,n,,"=""6""",,,,,0,n,,,,,,,
"=""083664107308""","Liquor ",1,10499,n,n,"GLENFIDDICH 12 Years Old","1.75 LITER",,n,1,1,0,n,,"=""1""",,,,,0,n,,,,,,,
"=""083664107315""","Liquor ",1,3999,n,n,"Hendricks grand cabaret","750 ml",,n,1,1,0,n,,"=""1""",,,,,,n,,,,,,,
"=""083664107339""","Liquor ",1,6499,n,n,GLENFIDDICH,1liter,,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083664107360""","Liquor ",1,5499,n,n,"Glenfiddich Scotch Whisky",750ml,,n,1,1,0,n,,"=""0""",,,,,,n,,,,,,,
"=""083664107445""","Liquor ",1,499,n,n,"Glenfiddich 12 years 50ml",50ml,,n,1,0,0,n,,"=""5""",,,,,,n,,,,,,,
"=""083664112210""","Liquor ",1,6999,n,n,"The Balvenie DoubleWood 12 Years",750ml,,n,1,1,0,n,,"=""5""",,,,,0,n,,,,,,,
"=""083664858415""","Liquor ",1,39999,n,n,"Balvenie 21 year  single  Malt, 750 ml",750ml,,n,1,1,0,n,,"=""1""",,,,,0,n,,,,,,,
"=""083664864461""","Liquor ",1,1399,n,n,"Sailor Jerry spiced Rum",750ml,,n,1,1,0,n,,"=""-118""",,,,,,n,,,,,,,
"=""083664866328""","Liquor ",1,799,n,n,"HENDRICKS 50ML",50ml,,n,1,1,0,n,,"=""11""",,,,,0,n,,,,,,,
"=""083664868377""","Liquor ",1,2499,n,n,"sailor jerry spiced rum","1 l",,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083664868735""","Liquor ",1,2899,n,n,"Sailor Jerry Spiced Rum",1.75L,,n,1,1,0,n,,"=""3""",,,,,,n,,,,,,,
"=""083664868780""","Liquor ",1,4399,n,n,"Hendricks Gin",1Liter,,n,1,1,0,n,,"=""0""",,,,,0,n,,,,,,,
"=""083664868902""","Liquor ",1,5299,n,n,"Milagro 1.75",1.75l,,n,1,1,0,n,,"=""-4""",,,,,0,n,,,,,,,
